title,body,labels
Update ad tags (DFP),Change `ENVIRONMENT` to `NPR`; change `TESTSERVER` to `false`,Launch TODO
Update Facebook Open Graph tags,Images should have an aspect ratio of 1.91:1 and be a minimum of 1200 x 630. Verify with debugger: https://developers.facebook.com/tools/debug/,Launch TODO
Update Twitter Card tags,Validator: https://dev.twitter.com/docs/cards/validation/validator,Launch TODO
Update Twitter/Facebook links,,Launch TODO
Request npr.org/foo redirect (short URL),https://github.com/nprapps/workinprivate/blob/master/shell_pages.md,Launch TODO
Create Seamus shell page,https://github.com/nprapps/workinprivate/blob/master/shell_pages.md,Launch TODO
Request shell page direct,https://github.com/nprapps/workinprivate/blob/master/shell_pages.md,Launch TODO
Update widget analytics with project name,If using a widget,Launch TODO
Browser testing: IE9,,
Browser testing: IE10,,
Browser testing: IE11,,
Browser testing: Latest Firefox,,
Browser testing: Latest Chrome,,
Browser testing: Desktop Safari,,
Device testing: iPhone Safari,,
Device testing: iPhone Chrome/Webkit,,
Device testing: iPad,,
Device testing: Android phone,,
Device testing: Android tablet,,
Data download,,
Link to repo,,
Update comment prompt,,
Ad,,
Double-check analytics code,,Launch TODO
DevOps: Enable scout monitor for /<project_slug>/test/,,Launch TODO
Write the team blog post,,Launch TODO
Byline for visuals team,,Launch TODO
Add project to team projects list,Update https://github.com/nprapps/nprapps.github.com/blob/master/_data/apps.yml,Launch TODO
Update master sitemaps index and redeploy,,Launch TODO
Email media relations re: press releasees,,Launch TODO
Schedule iteration reviews,,Project Management
Schedule sprint planning meetings,,Project Management
Schedule sprint retrospectives,,Project Management
Setup Hipchat service hook on github,,
Let the copy desk know an app is coming,,
Make sure the copy desk is happy,,Launch TODO
Let the homepage team know an app is coming,"A week or so before launch give them a link, a walkthrough and discuss headlines and teasers",
Send shell page to homepage editors,,Launch TODO
Distribute launch timeline,"Let stakeholders, social media, etc know what the launch schedule is",Launch TODO
Run the app through Google Page Speed,http://developers.google.com/speed/pagespeed/insights/,
Change LICENSE to MIT if open sourcing,By default things are copyright NPR,Launch TODO
Add Staff team to repository,https://github.com/organizations/nprapps/teams/629980,
Add Intern team to repository,https://github.com/organizations/nprapps/teams/210132,
Update Google Analytics topics variable with Seamus topic ids,`app_config.GOOGLE_ANALYTICS.topics` is necessary to be tracked in all reports. You can steal this value from the source of a related npr.org story,Launch TODO
Update project meta description,It's in the copytext document. This gets indexed by Google.,Launch TODO
Setup retrospective review with editor,What did we learn? How do we do better next time?,
Verify page title tags are good,,Launch TODO
Duplicate the COPY spreadsheet,Make a copy for this project and update `app_config.COPY_GOOGLE_DOC_KEY` with new key: https://docs.google.com/spreadsheet/ccc?key=0AlXMOHKxzQVRdHZuX1UycXplRlBfLVB0UVNldHJYZmc&usp=drive_web#gid=0,
Optimize images,,Launch TODO
Document custom Google Analytics events in README,,Launch TODO
Implement completion GA event,"Could be implemented based on scroll depth, slide progress or something else",
Make promotion plans with the social media team,Email socialmediateam@npr.org,
Draft tweets for homepage team,,Launch TODO
Draft Facebook post for homepage team,,Launch TODO
